StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q13,Q1,Q2,Q3,Q5,Q6,Q7,Q7_5_TEXT,Q8,Q9,Q9_7_TEXT,Q10,Q11,Q12,Q13,Q_RecaptchaStatus,Q_RecaptchaError
2026-04-17 08:10:23,2026-04-17 08:12:38,IP Address,128.6.147.38,100,134,True,2026-04-17 08:12:39,R_1uK7UgYbB2ipYUV,,,,,40.5511,-74.4606,anonymous,EN,1,No,3-4 times/week,Neutral,Yes,More seating (outdoors too),Strongly agree,Round tables,,No,Trivia or theme days,,Harvest IFNH dinners,Agree,Table cards,CAPS,complete,
2026-04-17 08:54:28,2026-04-17 08:56:30,IP Address,128.6.147.46,100,122,True,2026-04-17 08:56:30,R_5pak6hQd5SYuJt7,,,,,40.5511,-74.4606,anonymous,EN,1,Not sure,3-4 times/week,Neutral,Yes,,Neutral,Mixed options,,Not sure,None,,,Agree,Events,,complete,
2026-04-10 10:15:35,2026-04-10 10:19:12,IP Address,128.6.147.107,79,216,False,2026-04-17 10:19:22,R_1oLALSDISa68tD2,,,,,40.5511,-74.4606,anonymous,EN,1,Not sure,Occasionally,Neutral,Yes,,Neutral,Mixed options,,Yes,Trivia or theme days,,,,,,complete,
2026-04-20 07:52:38,2026-04-20 07:55:50,IP Address,174.206.230.118,100,191,True,2026-04-20 07:55:50,R_7k09TsRZySoENTK,,,,,40.798,-74.2416,anonymous,EN,1,Not sure,Occasionally,Agree,Yes,Honestly it rocks here It's good,Agree,Mixed options,,Not sure,Other:,All of the above except trivia,"Probably if it's full and I have to share a table with someone.  Or seeing a classmate, which is easy with the layout",Agree,QR codes,"Im not sure, I just like seeing anything",complete,
2026-04-20 08:05:26,2026-04-20 08:07:07,IP Address,128.6.147.35,100,100,True,2026-04-20 08:07:07,R_5n6ChrtuZfuzDon,,,,,40.5511,-74.4606,anonymous,EN,1,Yes,3-4 times/week,Agree,Yes,,Agree,Lounge seating,,Yes,Creative prompts,,,Agree,Table cards,,complete,
2026-04-20 10:07:16,2026-04-20 10:08:45,IP Address,128.6.147.1,100,89,True,2026-04-20 10:08:46,R_68Izg7x4D8XCXCN,,,,,40.5511,-74.4606,anonymous,EN,1,Yes,1-2 times/week,Neutral,No,,Agree,Mixed options,,Not sure,Daily/weekly challenges,,,Agree,Table cards,,complete,
2026-04-20 10:31:48,2026-04-20 10:32:57,IP Address,128.6.147.114,100,69,True,2026-04-20 10:32:57,R_7pnXfxAA6nNeF75,,,,,40.5511,-74.4606,anonymous,EN,1,Yes,Daily,Strongly agree,Yes,More seating,Neutral,Shared long tables,,No,Trivia or theme days,,,Agree,Events,,complete,
2026-04-21 08:49:37,2026-04-21 08:55:19,IP Address,128.6.147.48,100,341,True,2026-04-21 08:55:19,R_7TOM9HSXPi0HCGB,,,,,40.5511,-74.4606,anonymous,EN,1,Yes,3-4 times/week,Agree,No,,Neutral,Mixed options,,Yes,Conversation prompts,,,Agree,Table cards,,complete,
2026-04-21 10:21:33,2026-04-21 10:23:51,IP Address,146.75.223.33,100,137,True,2026-04-21 10:23:51,R_1Orz9mFiD3PpIKM,,,,,40.4993,-74.399,anonymous,EN,1,Yes,1-2 times/week,Agree,"Not yet, but I would like to",More seating,Agree,Round tables,,Not sure,Trivia or theme days,,,Neutral,Table cards,,complete,
2026-04-22 08:42:19,2026-04-22 08:43:36,IP Address,172.59.209.81,100,77,True,2026-04-22 08:43:37,R_6Qtxp3uapuTSuo9,,,,,40.7886,-74.1634,anonymous,EN,1,Yes,3-4 times/week,Agree,No,,Agree,Mixed options,,Not sure,Trivia or theme days,,,Agree,Digital screens,,complete,
2026-04-23 08:32:12,2026-04-23 08:34:57,IP Address,172.226.205.116,100,164,True,2026-04-23 08:34:58,R_5Cx12bFWKD7EOju,,,,,40.5606,-74.1391,anonymous,EN,1,Yes,3-4 times/week,Strongly agree,"Not yet, but I would like to",MORE SEATS PLEASEEEEE,Neutral,Mixed options,,Not sure,Trivia or theme days,,Free food,Disagree,Table cards,,complete,
2026-04-16 09:44:56,2026-04-16 09:45:10,IP Address,128.6.147.32,43,13,False,2026-04-23 09:45:11,R_3BPe7MyptwDzLXh,,,,,40.5511,-74.4606,anonymous,EN,1,Yes,3-4 times/week,Strongly agree,Yes,,,,,,,,,,,,complete,
2026-04-16 09:43:28,2026-04-16 09:49:26,IP Address,174.230.190.73,64,358,False,2026-04-23 09:50:09,R_32bf6ZDJ8rIewMQ,,,,,40.803,-74.1909,anonymous,EN,1,Yes,Occasionally,Agree,No,,Disagree,Mixed options,,Yes,,,,,,,complete,
2026-04-23 10:55:04,2026-04-23 10:55:47,IP Address,146.75.245.39,100,42,True,2026-04-23 10:55:48,R_6AuzYxgT5HjLugx,,,,,40.4993,-74.399,anonymous,EN,1,Not sure,1-2 times/week,Strongly agree,"Not yet, but I would like to",,Strongly agree,Mixed options,,Yes,Trivia or theme days,,,Agree,Digital screens,,complete,
2026-04-23 11:25:56,2026-04-23 11:28:17,IP Address,128.6.147.65,100,141,True,2026-04-23 11:28:18,R_32Ruy0ETwJMoASF,,,,,40.5511,-74.4606,anonymous,EN,1,No,3-4 times/week,Agree,Yes,more seating and more outlets,Disagree,Mixed options,,No,Trivia or theme days,,,Neutral,Events,more jazz,complete,
2026-04-24 07:34:53,2026-04-24 07:39:43,IP Address,128.6.147.71,100,290,True,2026-04-24 07:39:44,R_7dvk1FHnKRUwOjU,,,,,40.5511,-74.4606,anonymous,EN,0.699999988079071,No,1-2 times/week,Agree,No,NA,Agree,Mixed options,,Yes,Trivia or theme days,,"Themed group activities, cars games board games",Disagree,Table cards,NA,complete,
2026-04-24 08:31:37,2026-04-24 08:38:24,IP Address,128.6.147.29,100,406,True,2026-04-24 08:38:25,R_5FKesPDJcYBF4uR,,,,,40.5511,-74.4606,anonymous,EN,1,No,3-4 times/week,Strongly agree,Yes,"Since a lot of people eat here, there could be more places to put food down. I see benches and chairs without something like a table.",Agree,Mixed options,,Not sure,Creative prompts,,"I see that they have similar interests with me, such as pins and stickers from a video game.",Strongly agree,QR codes,"None, I like the relaxed eating environment.",complete,
2026-04-24 11:24:21,2026-04-24 11:27:11,IP Address,128.6.147.11,100,169,True,2026-04-24 11:27:11,R_6kHtQJPGB4QiShR,,,,,40.5511,-74.4606,anonymous,EN,1,Not sure,1-2 times/week,Strongly agree,Yes,"I love the fliers on the tables. I always find myself reading them while eating, and since I’m here by myself often, I enjoy taking the time to read while I eat. Perhaps a crossword puzzle or small game on the fliers for people to complete? But I love harvest and I think you guys are doing great things.",Strongly agree,Mixed options,,No,Resource bingo,,Not much!,Neutral,Events,,complete,
2026-04-24 11:26:38,2026-04-24 11:28:13,IP Address,128.6.147.8,100,95,True,2026-04-24 11:28:13,R_5K0UdhSKTyHPG9z,,,,,40.5511,-74.4606,anonymous,EN,1,Not sure,3-4 times/week,Agree,"Not yet, but I would like to",I love the plant wall and the food,Agree,Mixed options,,Yes,None,,,Neutral,QR codes,,complete,
2026-04-24 11:56:09,2026-04-24 11:57:21,IP Address,128.6.147.13,100,72,True,2026-04-24 11:57:22,R_642wwX0jL3fBP2L,,,,,40.5511,-74.4606,anonymous,EN,1,No,1-2 times/week,Agree,"Not yet, but I would like to",More tables and comfier seating,Disagree,Mixed options,,Yes,Creative prompts,,Better searing,Disagree,Table cards,,complete,
2026-04-24 13:58:47,2026-04-24 14:00:53,IP Address,174.206.231.148,100,126,True,2026-04-24 14:00:54,R_7dxY9slBRoHNLBp,,,,,40.798,-74.2416,anonymous,EN,1,Not sure,Occasionally,Agree,No,"Please make the hours for Harvest longer so we may enjoy the food more. ",Agree,Lounge seating,,Yes,Creative prompts,,"Something calming, non competitive, and creative",Neutral,QR codes,"the food and the events planned ",complete,
2026-04-24 14:38:44,2026-04-24 14:40:57,IP Address,128.6.147.59,100,133,True,2026-04-24 14:40:58,R_1IadohxIRY0NIk4,,,,,40.5511,-74.4606,anonymous,EN,1,Yes,Occasionally,Strongly agree,Yes,"The people working here actually doing their job ",Strongly agree,Round tables,,Yes,Creative prompts,,Events,Strongly agree,Digital screens,,complete,
2026-04-24 14:39:06,2026-04-24 14:42:36,IP Address,128.6.147.16,100,209,True,2026-04-24 14:42:36,R_1SIY7uRyvbwKB4l,,,,,40.5511,-74.4606,anonymous,EN,1,Yes,Occasionally,Strongly agree,Yes,More events and resourced in the evenings.,Strongly agree,Mixed options,,Yes,Creative prompts,,Social and creative events,Strongly agree,Events,,complete,
2026-04-24 16:18:00,2026-04-24 16:18:49,IP Address,128.6.147.110,100,49,True,2026-04-24 16:18:49,R_6S94fuKwO3mQUxe,,,,,40.5511,-74.4606,anonymous,EN,1,Yes,3-4 times/week,Agree,Yes,More events,Agree,Shared long tables,,Yes,Daily/weekly challenges,,,Agree,Table cards,,complete,
2026-04-24 18:03:11,2026-04-24 18:06:42,IP Address,128.6.147.116,100,211,True,2026-04-24 18:06:43,R_19zGEFdWGAZTQUp,,,,,40.5511,-74.4606,anonymous,EN,0.8999999761581421,Not sure,1-2 times/week,Strongly agree,"Not yet, but I would like to","Change all four-person tables to two-person tables. Most people come individually, so the four-person tables take up space. If there’s a bigger group, they can push the tables together. Or, just generally, lower the amount of four-person tables. ",Neutral,Round tables,,No,Conversation prompts,,,Agree,Table cards,,complete,
2026-04-20 11:17:21,2026-04-20 11:18:12,IP Address,128.6.147.118,79,50,False,2026-04-27 11:23:47,R_1jecNy0RTSzAc1F,,,,,40.5511,-74.4606,anonymous,EN,1,Yes,Occasionally,Agree,No,,Agree,Mixed options,,Yes,Daily/weekly challenges,,,,,,complete,
2026-04-22 07:22:14,2026-04-22 07:22:58,IP Address,146.75.237.45,43,43,False,2026-04-29 07:23:01,R_7nTxkBr3bTp0Yjg,,,,,40.4993,-74.399,anonymous,EN,1,No,3-4 times/week,Strongly agree,No,,,,,,,,,,,,complete,
2026-04-29 10:05:21,2026-04-29 10:08:56,IP Address,128.6.147.11,100,215,True,2026-04-29 10:08:57,R_1Y5QHIYJiE4KL06,,,,,40.5511,-74.4606,anonymous,EN,1,Yes,1-2 times/week,Agree,"Not yet, but I would like to","I think this space is already welcoming, maybe designated conversation tables? But students might not participate anyways. After hours events like speed dating/friend meeting could be a cool event too, especially with food or another incentive.",Agree,Mixed options,,Not sure,Trivia or theme days,,A designated headphones off area?,Agree,Digital screens,Wellness and other activities on campus nearby,complete,
2026-04-30 09:18:59,2026-04-30 09:20:11,IP Address,74.254.145.92,100,71,True,2026-04-30 09:20:11,R_10SHXhC2s4qtyEx,,,,,40.7653,-73.9589,anonymous,EN,1,Not sure,3-4 times/week,Neutral,No,,Neutral,Mixed options,,Yes,Creative prompts,,,Neutral,Events,,complete,
2026-04-30 09:34:23,2026-04-30 09:36:49,IP Address,146.75.237.44,100,146,True,2026-04-30 09:36:50,R_7dnoAyeq6ty3Yb0,,,,,40.4993,-74.399,anonymous,EN,1,Yes,Occasionally,Neutral,"Not yet, but I would like to",,Agree,Mixed options,,Yes,Daily/weekly challenges,,,Agree,Peer ambassadors,,complete,
2026-04-30 09:38:47,2026-04-30 09:39:40,IP Address,128.6.147.77,100,52,True,2026-04-30 09:39:40,R_5duftKiWdI9HM7D,,,,,40.5511,-74.4606,anonymous,EN,1,No,Occasionally,Agree,No,,Agree,Mixed options,,Yes,Creative prompts,,,Disagree,QR codes,,complete,
2026-04-30 10:26:18,2026-04-30 10:27:09,IP Address,128.6.147.28,100,50,True,2026-04-30 10:27:09,R_70wAKrW1dVjLb91,,,,,40.5511,-74.4606,anonymous,EN,1,Yes,3-4 times/week,Agree,No,kettle corn at harvest,Agree,Mixed options,,Not sure,Trivia or theme days,,not sure,Agree,Events,not sure,complete,
2026-04-30 10:25:53,2026-04-30 10:31:24,IP Address,128.6.147.94,100,331,True,2026-04-30 10:31:25,R_5gIQv22EnIQoJjO,,,,,40.5511,-74.4606,anonymous,EN,1,No,1-2 times/week,Strongly agree,"Not yet, but I would like to",,Neutral,Mixed options,,Not sure,Trivia or theme days,,,Agree,Events,,complete,
2026-05-01 09:39:31,2026-05-01 09:42:30,IP Address,128.6.147.122,100,178,True,2026-05-01 09:42:30,R_5A1mPTctebgxu92,,,,,40.5511,-74.4606,anonymous,EN,1,Yes,Occasionally,Neutral,"Not yet, but I would like to",,Agree,Shared long tables,,Yes,Resource bingo,,,Agree,Digital screens,,complete,
2026-05-01 09:24:52,2026-05-01 09:44:06,IP Address,104.28.157.243,100,1154,True,2026-05-01 09:44:07,R_3PySoVQUyn6NI27,,,,,38.9653,-77.338,anonymous,EN,1,Yes,Occasionally,Neutral,"Not yet, but I would like to",,Neutral,Mixed options,,Yes,Creative prompts,,,Agree,Table cards,,complete,
2026-05-01 10:02:23,2026-05-01 10:03:47,IP Address,128.6.147.46,100,83,True,2026-05-01 10:03:47,R_6uxMLbqqQKQlfga,,,,,40.5511,-74.4606,anonymous,EN,1,Yes,3-4 times/week,Strongly agree,Yes,More seating!!,Strongly agree,Mixed options,,Yes,Trivia or theme days,,,Strongly agree,Events,,complete,
2026-05-01 10:03:44,2026-05-01 10:05:26,IP Address,128.6.147.37,100,102,True,2026-05-01 10:05:27,R_3i3V4ZtrY0RwxY1,,,,,40.5511,-74.4606,anonymous,EN,1,No,Daily,Strongly agree,No,,Agree,Mixed options,,Yes,Daily/weekly challenges,,,Agree,Events,,complete,
2026-05-01 10:02:26,2026-05-01 10:06:27,IP Address,128.6.147.53,100,240,True,2026-05-01 10:06:28,R_1iYkB50W90gsV9v,,,,,40.5511,-74.4606,anonymous,EN,1,Not sure,1-2 times/week,Agree,No,,Agree,Mixed options,,Not sure,Other:,conversation prompts and daily/weekly challenges,,Neutral,Digital screens,,complete,
2026-05-01 10:02:24,2026-05-01 10:06:27,IP Address,172.59.208.198,100,243,True,2026-05-01 10:06:28,R_7CvRsFrlHwgjur9,,,,,40.7242,-74.1977,anonymous,EN,1,Not sure,1-2 times/week,Agree,No,,Agree,Mixed options,,Not sure,Daily/weekly challenges,,"Vibe, similar interest, style",Neutral,Table cards,,complete,
2026-05-01 10:33:36,2026-05-01 10:36:54,IP Address,128.6.36.245,100,198,True,2026-05-01 10:36:54,R_7tX1RfWoZM52dsl,,,,,40.5511,-74.4606,anonymous,EN,1,No,Occasionally,Neutral,No,"More seating, maybe live performers",Agree,Mixed options,,Yes,Trivia or theme days,,,Disagree,Table cards,,complete,
2026-05-01 10:44:09,2026-05-01 10:59:03,IP Address,128.6.147.74,100,894,True,2026-05-01 10:59:04,R_3CQxpugccVRNOtB,,,,,40.5511,-74.4606,anonymous,EN,0.8999999761581421,No,3-4 times/week,Neutral,No,N/a,Agree,Shared long tables,,Yes,None,,,Neutral,QR codes,,complete,
2026-05-05 12:31:29,2026-05-05 12:32:56,IP Address,128.6.147.121,100,87,True,2026-05-05 12:32:57,R_10faay1zPnoFoMA,,,,,40.5511,-74.4606,anonymous,EN,1,No,1-2 times/week,Strongly agree,Yes,"More tabling from Scarlet Well that seems accessible to students, like putting it in that long table in front of the registers at Harvest instead of by the Classroom",Agree,Mixed options,,Yes,Trivia or theme days,,"Activity ",Agree,Digital screens,"peer ambassador ",complete,
