start_date,end_date,progress_pct,duration_seconds,finished,recorded_date,response_id,distribution_channel,user_language,recaptcha_score,recaptcha_status,recaptcha_error,scarletwell_awareness,visit_frequency,sense_of_connection,met_new_people,welcoming_engaging_text,layout_encourages_interaction,seating_preference,seating_other_text,reflection_recharge_helpful,table_activity_preference,activity_other_text,talk_to_someone_new_text,wellness_resource_awareness,wellness_info_channel,campus_services_text,is_complete,answered_core_count,regular_visitor_flag,visit_frequency_group,connection_positive_flag,layout_positive_flag,wellness_awareness_positive_flag,mentions_seating_capacity,mentions_events_programming,mentions_food_samples,mentions_quiet_reflection,mentions_caps_health,mentions_art_creative
2026-04-16 12:48:49,2026-04-16 12:51:58,100,188,True,2026-04-16 12:51:59,R_7LFK7Ute2UckF0J,anonymous,EN,1,complete,,Yes,Occasionally,Neutral,No,Different areas allocated for socialization. Or more food-themed events,Agree,Mixed options,,Yes,Conversation prompts,,If we shared something similar or they were willing to talk to me.,Agree,Digital screens,A lounge area that can be optimized for resting,TRUE,10,FALSE,Occasional visitor,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
2026-04-16 12:54:01,2026-04-16 12:55:34,100,92,True,2026-04-16 12:55:34,R_6OfvslzBDJQind2,anonymous,EN,1,complete,,,,,,,,,,,,,,,,,TRUE,0,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2026-04-16 13:08:28,2026-04-16 13:11:55,100,207,True,2026-04-16 13:11:55,R_7cXJRtaisz4254W,anonymous,EN,1,complete,,Yes,Daily,Strongly agree,"Not yet, but I would like to",Maybe having more tables or even puff chairs would be nice,Neutral,Mixed options,,Yes,Conversation prompts,,"Knowing that we have shared interests, like hobbies, movies, etc",Agree,Events,Destress,TRUE,10,TRUE,Regular weekly visitor,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2026-04-17 08:00:05,2026-04-17 08:03:17,100,192,True,2026-04-17 08:03:17,R_1Ijg31e1gAFTTfQ,anonymous,EN,1,complete,,No,3-4 times/week,Agree,No,More single person tables! There is never enough room ):,Neutral,Other:,"More single person tables, many times it ends up being 1 person per table",No,None,,Nothing. I come here to relax and be in a quieter space than the dining halls,Agree,Table cards,More tables,TRUE,10,TRUE,Regular weekly visitor,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
2026-04-17 08:00:03,2026-04-17 08:09:10,100,547,True,2026-04-17 08:09:11,R_7kvn4hCn80ThmVK,anonymous,EN,1,complete,,No,1-2 times/week,Agree,No,Menus with nutrition facts. Like a calorie estimate. I don’t know if you guys already have it on social media but of course not everyone has social media. Maybe on the boards that you guys have the menus. I apologize if you already do that. Maybe the print is too small,Neutral,Lounge seating,,Yes,Daily/weekly challenges,,Activated with prizes. Example: a themed event and those who participate get a free side with their meal that day. You can limit how many people if you’re not comfortable giving away too many free items,Strongly agree,QR codes,"Good guides. Like how to make smoothies, and food awareness. Especially for those who live in spaces with kitchens.",TRUE,10,TRUE,Regular weekly visitor,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
2026-04-17 08:10:23,2026-04-17 08:12:38,100,134,True,2026-04-17 08:12:39,R_1uK7UgYbB2ipYUV,anonymous,EN,1,complete,,No,3-4 times/week,Neutral,Yes,More seating (outdoors too),Strongly agree,Round tables,,No,Trivia or theme days,,Harvest IFNH dinners,Agree,Table cards,CAPS,TRUE,10,TRUE,Regular weekly visitor,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2026-04-17 08:54:28,2026-04-17 08:56:30,100,122,True,2026-04-17 08:56:30,R_5pak6hQd5SYuJt7,anonymous,EN,1,complete,,Not sure,3-4 times/week,Neutral,Yes,,Neutral,Mixed options,,Not sure,None,,,Agree,Events,,TRUE,10,TRUE,Regular weekly visitor,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2026-04-10 10:15:35,2026-04-10 10:19:12,79,216,False,2026-04-17 10:19:22,R_1oLALSDISa68tD2,anonymous,EN,1,complete,,Not sure,Occasionally,Neutral,Yes,,Neutral,Mixed options,,Yes,Trivia or theme days,,,,,,FALSE,8,FALSE,Occasional visitor,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2026-04-20 07:52:38,2026-04-20 07:55:50,100,191,True,2026-04-20 07:55:50,R_7k09TsRZySoENTK,anonymous,EN,1,complete,,Not sure,Occasionally,Agree,Yes,Honestly it rocks here It's good,Agree,Mixed options,,Not sure,Other:,All of the above except trivia,"Probably if it's full and I have to share a table with someone. Or seeing a classmate, which is easy with the layout",Agree,QR codes,"Im not sure, I just like seeing anything",TRUE,10,FALSE,Occasional visitor,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
2026-04-20 08:05:26,2026-04-20 08:07:07,100,100,True,2026-04-20 08:07:07,R_5n6ChrtuZfuzDon,anonymous,EN,1,complete,,Yes,3-4 times/week,Agree,Yes,,Agree,Lounge seating,,Yes,Creative prompts,,,Agree,Table cards,,TRUE,10,TRUE,Regular weekly visitor,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2026-04-20 10:07:16,2026-04-20 10:08:45,100,89,True,2026-04-20 10:08:46,R_68Izg7x4D8XCXCN,anonymous,EN,1,complete,,Yes,1-2 times/week,Neutral,No,,Agree,Mixed options,,Not sure,Daily/weekly challenges,,,Agree,Table cards,,TRUE,10,TRUE,Regular weekly visitor,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2026-04-20 10:31:48,2026-04-20 10:32:57,100,69,True,2026-04-20 10:32:57,R_7pnXfxAA6nNeF75,anonymous,EN,1,complete,,Yes,Daily,Strongly agree,Yes,More seating,Neutral,Shared long tables,,No,Trivia or theme days,,,Agree,Events,,TRUE,10,TRUE,Regular weekly visitor,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2026-04-21 08:49:37,2026-04-21 08:55:19,100,341,True,2026-04-21 08:55:19,R_7TOM9HSXPi0HCGB,anonymous,EN,1,complete,,Yes,3-4 times/week,Agree,No,,Neutral,Mixed options,,Yes,Conversation prompts,,,Agree,Table cards,,TRUE,10,TRUE,Regular weekly visitor,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2026-04-21 10:21:33,2026-04-21 10:23:51,100,137,True,2026-04-21 10:23:51,R_1Orz9mFiD3PpIKM,anonymous,EN,1,complete,,Yes,1-2 times/week,Agree,"Not yet, but I would like to",More seating,Agree,Round tables,,Not sure,Trivia or theme days,,,Neutral,Table cards,,TRUE,10,TRUE,Regular weekly visitor,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2026-04-22 08:42:19,2026-04-22 08:43:36,100,77,True,2026-04-22 08:43:37,R_6Qtxp3uapuTSuo9,anonymous,EN,1,complete,,Yes,3-4 times/week,Agree,No,,Agree,Mixed options,,Not sure,Trivia or theme days,,,Agree,Digital screens,,TRUE,10,TRUE,Regular weekly visitor,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2026-04-23 08:32:12,2026-04-23 08:34:57,100,164,True,2026-04-23 08:34:58,R_5Cx12bFWKD7EOju,anonymous,EN,1,complete,,Yes,3-4 times/week,Strongly agree,"Not yet, but I would like to",MORE SEATS PLEASEEEEE,Neutral,Mixed options,,Not sure,Trivia or theme days,,Free food,Disagree,Table cards,,TRUE,10,TRUE,Regular weekly visitor,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
2026-04-16 09:44:56,2026-04-16 09:45:10,43,13,False,2026-04-23 09:45:11,R_3BPe7MyptwDzLXh,anonymous,EN,1,complete,,Yes,3-4 times/week,Strongly agree,Yes,,,,,,,,,,,,FALSE,4,TRUE,Regular weekly visitor,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2026-04-16 09:43:28,2026-04-16 09:49:26,64,358,False,2026-04-23 09:50:09,R_32bf6ZDJ8rIewMQ,anonymous,EN,1,complete,,Yes,Occasionally,Agree,No,,Disagree,Mixed options,,Yes,,,,,,,FALSE,7,FALSE,Occasional visitor,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2026-04-23 10:55:04,2026-04-23 10:55:47,100,42,True,2026-04-23 10:55:48,R_6AuzYxgT5HjLugx,anonymous,EN,1,complete,,Not sure,1-2 times/week,Strongly agree,"Not yet, but I would like to",,Strongly agree,Mixed options,,Yes,Trivia or theme days,,,Agree,Digital screens,,TRUE,10,TRUE,Regular weekly visitor,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2026-04-23 11:25:56,2026-04-23 11:28:17,100,141,True,2026-04-23 11:28:18,R_32Ruy0ETwJMoASF,anonymous,EN,1,complete,,No,3-4 times/week,Agree,Yes,more seating and more outlets,Disagree,Mixed options,,No,Trivia or theme days,,,Neutral,Events,more jazz,TRUE,10,TRUE,Regular weekly visitor,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2026-04-24 07:34:53,2026-04-24 07:39:43,100,290,True,2026-04-24 07:39:44,R_7dvk1FHnKRUwOjU,anonymous,EN,0.699999988079071,complete,,No,1-2 times/week,Agree,No,NA,Agree,Mixed options,,Yes,Trivia or theme days,,"Themed group activities, cars games board games",Disagree,Table cards,NA,TRUE,10,TRUE,Regular weekly visitor,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2026-04-24 08:31:37,2026-04-24 08:38:24,100,406,True,2026-04-24 08:38:25,R_5FKesPDJcYBF4uR,anonymous,EN,1,complete,,No,3-4 times/week,Strongly agree,Yes,"Since a lot of people eat here, there could be more places to put food down. I see benches and chairs without something like a table.",Agree,Mixed options,,Not sure,Creative prompts,,"I see that they have similar interests with me, such as pins and stickers from a video game.",Strongly agree,QR codes,"None, I like the relaxed eating environment.",TRUE,10,TRUE,Regular weekly visitor,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
2026-04-24 11:24:21,2026-04-24 11:27:11,100,169,True,2026-04-24 11:27:11,R_6kHtQJPGB4QiShR,anonymous,EN,1,complete,,Not sure,1-2 times/week,Strongly agree,Yes,"I love the fliers on the tables. I always find myself reading them while eating, and since I’m here by myself often, I enjoy taking the time to read while I eat. Perhaps a crossword puzzle or small game on the fliers for people to complete? But I love harvest and I think you guys are doing great things.",Strongly agree,Mixed options,,No,Resource bingo,,Not much!,Neutral,Events,,TRUE,10,TRUE,Regular weekly visitor,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
2026-04-24 11:26:38,2026-04-24 11:28:13,100,95,True,2026-04-24 11:28:13,R_5K0UdhSKTyHPG9z,anonymous,EN,1,complete,,Not sure,3-4 times/week,Agree,"Not yet, but I would like to",I love the plant wall and the food,Agree,Mixed options,,Yes,None,,,Neutral,QR codes,,TRUE,10,TRUE,Regular weekly visitor,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2026-04-24 11:56:09,2026-04-24 11:57:21,100,72,True,2026-04-24 11:57:22,R_642wwX0jL3fBP2L,anonymous,EN,1,complete,,No,1-2 times/week,Agree,"Not yet, but I would like to",More tables and comfier seating,Disagree,Mixed options,,Yes,Creative prompts,,Better searing,Disagree,Table cards,,TRUE,10,TRUE,Regular weekly visitor,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2026-04-24 13:58:47,2026-04-24 14:00:53,100,126,True,2026-04-24 14:00:54,R_7dxY9slBRoHNLBp,anonymous,EN,1,complete,,Not sure,Occasionally,Agree,No,Please make the hours for Harvest longer so we may enjoy the food more.,Agree,Lounge seating,,Yes,Creative prompts,,"Something calming, non competitive, and creative",Neutral,QR codes,the food and the events planned,TRUE,10,FALSE,Occasional visitor,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
2026-04-24 14:38:44,2026-04-24 14:40:57,100,133,True,2026-04-24 14:40:58,R_1IadohxIRY0NIk4,anonymous,EN,1,complete,,Yes,Occasionally,Strongly agree,Yes,The people working here actually doing their job,Strongly agree,Round tables,,Yes,Creative prompts,,Events,Strongly agree,Digital screens,,TRUE,10,FALSE,Occasional visitor,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2026-04-24 14:39:06,2026-04-24 14:42:36,100,209,True,2026-04-24 14:42:36,R_1SIY7uRyvbwKB4l,anonymous,EN,1,complete,,Yes,Occasionally,Strongly agree,Yes,More events and resourced in the evenings.,Strongly agree,Mixed options,,Yes,Creative prompts,,Social and creative events,Strongly agree,Events,,TRUE,10,FALSE,Occasional visitor,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
2026-04-24 16:18:00,2026-04-24 16:18:49,100,49,True,2026-04-24 16:18:49,R_6S94fuKwO3mQUxe,anonymous,EN,1,complete,,Yes,3-4 times/week,Agree,Yes,More events,Agree,Shared long tables,,Yes,Daily/weekly challenges,,,Agree,Table cards,,TRUE,10,TRUE,Regular weekly visitor,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2026-04-24 18:03:11,2026-04-24 18:06:42,100,211,True,2026-04-24 18:06:43,R_19zGEFdWGAZTQUp,anonymous,EN,0.8999999761581421,complete,,Not sure,1-2 times/week,Strongly agree,"Not yet, but I would like to","Change all four-person tables to two-person tables. Most people come individually, so the four-person tables take up space. If there’s a bigger group, they can push the tables together. Or, just generally, lower the amount of four-person tables.",Neutral,Round tables,,No,Conversation prompts,,,Agree,Table cards,,TRUE,10,TRUE,Regular weekly visitor,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2026-04-20 11:17:21,2026-04-20 11:18:12,79,50,False,2026-04-27 11:23:47,R_1jecNy0RTSzAc1F,anonymous,EN,1,complete,,Yes,Occasionally,Agree,No,,Agree,Mixed options,,Yes,Daily/weekly challenges,,,,,,FALSE,8,FALSE,Occasional visitor,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2026-04-22 07:22:14,2026-04-22 07:22:58,43,43,False,2026-04-29 07:23:01,R_7nTxkBr3bTp0Yjg,anonymous,EN,1,complete,,No,3-4 times/week,Strongly agree,No,,,,,,,,,,,,FALSE,4,TRUE,Regular weekly visitor,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2026-04-29 10:05:21,2026-04-29 10:08:56,100,215,True,2026-04-29 10:08:57,R_1Y5QHIYJiE4KL06,anonymous,EN,1,complete,,Yes,1-2 times/week,Agree,"Not yet, but I would like to","I think this space is already welcoming, maybe designated conversation tables? But students might not participate anyways. After hours events like speed dating/friend meeting could be a cool event too, especially with food or another incentive.",Agree,Mixed options,,Not sure,Trivia or theme days,,A designated headphones off area?,Agree,Digital screens,Wellness and other activities on campus nearby,TRUE,10,TRUE,Regular weekly visitor,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
2026-04-30 09:18:59,2026-04-30 09:20:11,100,71,True,2026-04-30 09:20:11,R_10SHXhC2s4qtyEx,anonymous,EN,1,complete,,Not sure,3-4 times/week,Neutral,No,,Neutral,Mixed options,,Yes,Creative prompts,,,Neutral,Events,,TRUE,10,TRUE,Regular weekly visitor,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2026-04-30 09:34:23,2026-04-30 09:36:49,100,146,True,2026-04-30 09:36:50,R_7dnoAyeq6ty3Yb0,anonymous,EN,1,complete,,Yes,Occasionally,Neutral,"Not yet, but I would like to",,Agree,Mixed options,,Yes,Daily/weekly challenges,,,Agree,Peer ambassadors,,TRUE,10,FALSE,Occasional visitor,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2026-04-30 09:38:47,2026-04-30 09:39:40,100,52,True,2026-04-30 09:39:40,R_5duftKiWdI9HM7D,anonymous,EN,1,complete,,No,Occasionally,Agree,No,,Agree,Mixed options,,Yes,Creative prompts,,,Disagree,QR codes,,TRUE,10,FALSE,Occasional visitor,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2026-04-30 10:26:18,2026-04-30 10:27:09,100,50,True,2026-04-30 10:27:09,R_70wAKrW1dVjLb91,anonymous,EN,1,complete,,Yes,3-4 times/week,Agree,No,kettle corn at harvest,Agree,Mixed options,,Not sure,Trivia or theme days,,not sure,Agree,Events,not sure,TRUE,10,TRUE,Regular weekly visitor,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2026-04-30 10:25:53,2026-04-30 10:31:24,100,331,True,2026-04-30 10:31:25,R_5gIQv22EnIQoJjO,anonymous,EN,1,complete,,No,1-2 times/week,Strongly agree,"Not yet, but I would like to",,Neutral,Mixed options,,Not sure,Trivia or theme days,,,Agree,Events,,TRUE,10,TRUE,Regular weekly visitor,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2026-05-01 09:39:31,2026-05-01 09:42:30,100,178,True,2026-05-01 09:42:30,R_5A1mPTctebgxu92,anonymous,EN,1,complete,,Yes,Occasionally,Neutral,"Not yet, but I would like to",,Agree,Shared long tables,,Yes,Resource bingo,,,Agree,Digital screens,,TRUE,10,FALSE,Occasional visitor,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2026-05-01 09:24:52,2026-05-01 09:44:06,100,1154,True,2026-05-01 09:44:07,R_3PySoVQUyn6NI27,anonymous,EN,1,complete,,Yes,Occasionally,Neutral,"Not yet, but I would like to",,Neutral,Mixed options,,Yes,Creative prompts,,,Agree,Table cards,,TRUE,10,FALSE,Occasional visitor,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2026-05-01 10:02:23,2026-05-01 10:03:47,100,83,True,2026-05-01 10:03:47,R_6uxMLbqqQKQlfga,anonymous,EN,1,complete,,Yes,3-4 times/week,Strongly agree,Yes,More seating!!,Strongly agree,Mixed options,,Yes,Trivia or theme days,,,Strongly agree,Events,,TRUE,10,TRUE,Regular weekly visitor,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2026-05-01 10:03:44,2026-05-01 10:05:26,100,102,True,2026-05-01 10:05:27,R_3i3V4ZtrY0RwxY1,anonymous,EN,1,complete,,No,Daily,Strongly agree,No,,Agree,Mixed options,,Yes,Daily/weekly challenges,,,Agree,Events,,TRUE,10,TRUE,Regular weekly visitor,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2026-05-01 10:02:26,2026-05-01 10:06:27,100,240,True,2026-05-01 10:06:28,R_1iYkB50W90gsV9v,anonymous,EN,1,complete,,Not sure,1-2 times/week,Agree,No,,Agree,Mixed options,,Not sure,Other:,conversation prompts and daily/weekly challenges,,Neutral,Digital screens,,TRUE,10,TRUE,Regular weekly visitor,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2026-05-01 10:02:24,2026-05-01 10:06:27,100,243,True,2026-05-01 10:06:28,R_7CvRsFrlHwgjur9,anonymous,EN,1,complete,,Not sure,1-2 times/week,Agree,No,,Agree,Mixed options,,Not sure,Daily/weekly challenges,,"Vibe, similar interest, style",Neutral,Table cards,,TRUE,10,TRUE,Regular weekly visitor,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2026-05-01 10:33:36,2026-05-01 10:36:54,100,198,True,2026-05-01 10:36:54,R_7tX1RfWoZM52dsl,anonymous,EN,1,complete,,No,Occasionally,Neutral,No,"More seating, maybe live performers",Agree,Mixed options,,Yes,Trivia or theme days,,,Disagree,Table cards,,TRUE,10,FALSE,Occasional visitor,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2026-05-01 10:44:09,2026-05-01 10:59:03,100,894,True,2026-05-01 10:59:04,R_3CQxpugccVRNOtB,anonymous,EN,0.8999999761581421,complete,,No,3-4 times/week,Neutral,No,N/a,Agree,Shared long tables,,Yes,None,,,Neutral,QR codes,,TRUE,10,TRUE,Regular weekly visitor,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2026-05-05 12:31:29,2026-05-05 12:32:56,100,87,True,2026-05-05 12:32:57,R_10faay1zPnoFoMA,anonymous,EN,1,complete,,No,1-2 times/week,Strongly agree,Yes,"More tabling from Scarlet Well that seems accessible to students, like putting it in that long table in front of the registers at Harvest instead of by the Classroom",Agree,Mixed options,,Yes,Trivia or theme days,,Activity,Agree,Digital screens,peer ambassador,TRUE,10,TRUE,Regular weekly visitor,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
2026-05-07 11:54:08,2026-05-07 11:54:59,100,50,True,2026-05-07 11:55:00,R_1m30ZI12Qspt1dz,anonymous,EN,1,complete,,Yes,Occasionally,Neutral,No,,Agree,Mixed options,,Yes,Conversation prompts,,,Agree,Table cards,,TRUE,10,FALSE,Occasional visitor,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
